workflow_id,request_id,step_id,node_id,source_node,target_node,node_type,step_type,agent_name,guardrail_type,policy_id,text_hash,input_text_hash,output_text_hash,text_changed,trust_boundary,risk_level,edge_risk_level,guardrail_result,severity,confidence,latency_ms,estimated_cost_usd,timestamp,workflow_template,behavior_pattern
wf_000,req_ae2378fa,1,req_ae2378fa_PlannerAgent,User,PlannerAgent,agent,agent,PlannerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,ab7232a7009e,ab7232a7009e,False,USER_TO_AGENT,medium,medium,PASS,low,0.73,237.28,0.000261,2025-01-01T09:00:00,orphan_branch_mixed,normal_duplicate
wf_000,req_ae2378fa,2,req_ae2378fa_RetrievalAgent,PlannerAgent,RetrievalAgent,agent,agent,RetrievalAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,ab7232a7009e,ab7232a7009e,False,AGENT_TO_AGENT_INTERNAL,medium,medium,PASS,low,0.709,183.71,0.000245,2025-01-01T09:00:00.711840,orphan_branch_mixed,normal_duplicate
wf_000,req_ae2378fa,3,req_ae2378fa_SummarizerAgent,RetrievalAgent,SummarizerAgent,agent,agent,SummarizerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,ab7232a7009e,ab7232a7009e,False,AGENT_TO_AGENT_INTERNAL,medium,medium,PASS,low,0.863,235.24,0.000269,2025-01-01T09:00:01.262970,orphan_branch_mixed,normal_duplicate
wf_000,req_ae2378fa,4,req_ae2378fa_ComplianceAgent,PlannerAgent,ComplianceAgent,agent,agent,ComplianceAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,ab7232a7009e,ab7232a7009e,False,AGENT_TO_AGENT_INTERNAL,medium,medium,PASS,low,0.83,198.98,0.000278,2025-01-01T09:00:01.968690,orphan_branch_mixed,normal_duplicate
wf_000,req_ae2378fa,5,req_ae2378fa_FinalAnswer,ComplianceAgent,FinalAnswer,final,final,FinalAnswer,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,ab7232a7009e,ab7232a7009e,False,AGENT_TO_FINAL_RESPONSE,medium,medium,PASS,low,0.746,210.94,0.000247,2025-01-01T09:00:02.565630,orphan_branch_mixed,normal_duplicate
wf_001,req_304e04c4,1,req_304e04c4_PlannerAgent,User,PlannerAgent,agent,agent,PlannerAgent,PII_CHECK,policy_v1,d07b08655a8f,d07b08655a8f,d07b08655a8f,False,USER_TO_AGENT,medium,medium,PASS,low,0.8,120.91,5.2e-05,2025-01-01T09:07:00,tool_heavy,normal_duplicate
wf_001,req_304e04c4,2,req_304e04c4_SearchTool,PlannerAgent,SearchTool,tool,tool,SearchTool,PII_CHECK,policy_v1,d07b08655a8f,d07b08655a8f,d07b08655a8f,False,AGENT_TO_TOOL,medium,medium,PASS,low,0.736,154.19,5.3e-05,2025-01-01T09:07:00.362730,tool_heavy,normal_duplicate
wf_001,req_304e04c4,3,req_304e04c4_AnalysisAgent,SearchTool,AnalysisAgent,agent,agent,AnalysisAgent,PII_CHECK,policy_v1,d07b08655a8f,d07b08655a8f,d07b08655a8f,False,TOOL_TO_AGENT,medium,medium,PASS,low,0.882,152.33,5.6e-05,2025-01-01T09:07:00.825300,tool_heavy,normal_duplicate
wf_001,req_304e04c4,4,req_304e04c4_DatabaseTool,AnalysisAgent,DatabaseTool,tool,tool,DatabaseTool,PII_CHECK,policy_v1,d07b08655a8f,d07b08655a8f,d07b08655a8f,False,AGENT_TO_TOOL,medium,medium,PASS,low,0.72,140.98,6.1e-05,2025-01-01T09:07:01.282290,tool_heavy,normal_duplicate
wf_001,req_304e04c4,5,req_304e04c4_SummarizerAgent,DatabaseTool,SummarizerAgent,agent,agent,SummarizerAgent,PII_CHECK,policy_v1,d07b08655a8f,d07b08655a8f,d07b08655a8f,False,TOOL_TO_AGENT,medium,medium,BLOCK,medium,0.951,126.76,5.7e-05,2025-01-01T09:07:01.705230,tool_heavy,normal_duplicate
