edge_id,workflow_id,request_id,source_node,target_node,trust_boundary,protected_boundary,text_changed_on_edge,edge_risk_level,guardrail_check_count
req_ae2378fa_User_PlannerAgent,wf_000,req_ae2378fa,User,PlannerAgent,USER_TO_AGENT,True,False,medium,1
req_ae2378fa_PlannerAgent_RetrievalAgent,wf_000,req_ae2378fa,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,medium,1
req_ae2378fa_RetrievalAgent_SummarizerAgent,wf_000,req_ae2378fa,RetrievalAgent,SummarizerAgent,AGENT_TO_AGENT_INTERNAL,False,False,medium,1
req_ae2378fa_PlannerAgent_ComplianceAgent,wf_000,req_ae2378fa,PlannerAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,medium,1
req_ae2378fa_ComplianceAgent_FinalAnswer,wf_000,req_ae2378fa,ComplianceAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,medium,1
req_304e04c4_User_PlannerAgent,wf_001,req_304e04c4,User,PlannerAgent,USER_TO_AGENT,True,False,medium,1
req_304e04c4_PlannerAgent_SearchTool,wf_001,req_304e04c4,PlannerAgent,SearchTool,AGENT_TO_TOOL,True,False,medium,1
req_304e04c4_SearchTool_AnalysisAgent,wf_001,req_304e04c4,SearchTool,AnalysisAgent,TOOL_TO_AGENT,True,False,medium,1
req_304e04c4_AnalysisAgent_DatabaseTool,wf_001,req_304e04c4,AnalysisAgent,DatabaseTool,AGENT_TO_TOOL,True,False,medium,1
req_304e04c4_DatabaseTool_SummarizerAgent,wf_001,req_304e04c4,DatabaseTool,SummarizerAgent,TOOL_TO_AGENT,True,False,medium,1
req_304e04c4_SummarizerAgent_FinalAnswer,wf_001,req_304e04c4,SummarizerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,medium,1
req_5d6a23c9_User_PlannerAgent,wf_002,req_5d6a23c9,User,PlannerAgent,USER_TO_AGENT,True,False,low,2
req_5d6a23c9_PlannerAgent_RetrievalAgent,wf_002,req_5d6a23c9,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_5d6a23c9_PlannerAgent_ComplianceAgent,wf_002,req_5d6a23c9,PlannerAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_5d6a23c9_RetrievalAgent_SummarizerAgent,wf_002,req_5d6a23c9,RetrievalAgent,SummarizerAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_5d6a23c9_ComplianceAgent_SummarizerAgent,wf_002,req_5d6a23c9,ComplianceAgent,SummarizerAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_5d6a23c9_SummarizerAgent_FinalAnswer,wf_002,req_5d6a23c9,SummarizerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,2
req_f625fc17_User_PlannerAgent,wf_003,req_f625fc17,User,PlannerAgent,USER_TO_AGENT,True,False,high,2
req_f625fc17_PlannerAgent_FinanceAgent,wf_003,req_f625fc17,PlannerAgent,FinanceAgent,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_f625fc17_FinanceAgent_PaymentTool,wf_003,req_f625fc17,FinanceAgent,PaymentTool,AGENT_TO_TOOL,True,False,high,2
req_f625fc17_PaymentTool_SummarizerAgent,wf_003,req_f625fc17,PaymentTool,SummarizerAgent,TOOL_TO_AGENT,True,False,high,2
req_f625fc17_SummarizerAgent_FinalAnswer,wf_003,req_f625fc17,SummarizerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,high,2
req_8b936967_User_PlannerAgent,wf_004,req_8b936967,User,PlannerAgent,USER_TO_AGENT,True,False,low,1
req_8b936967_PlannerAgent_AgentA,wf_004,req_8b936967,PlannerAgent,AgentA,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_8b936967_AgentA_AgentB,wf_004,req_8b936967,AgentA,AgentB,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_8b936967_AgentB_AgentC,wf_004,req_8b936967,AgentB,AgentC,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_8b936967_AgentC_FinalAnswer,wf_004,req_8b936967,AgentC,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,1
req_16c0be0a_User_PlannerAgent,wf_005,req_16c0be0a,User,PlannerAgent,USER_TO_AGENT,True,False,low,1
req_16c0be0a_PlannerAgent_RetrievalAgent,wf_005,req_16c0be0a,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_16c0be0a_RetrievalAgent_ComplianceAgent,wf_005,req_16c0be0a,RetrievalAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_16c0be0a_ComplianceAgent_FinalAnswer,wf_005,req_16c0be0a,ComplianceAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,1
req_8bde4bef_User_PlannerAgent,wf_006,req_8bde4bef,User,PlannerAgent,USER_TO_AGENT,True,False,high,1
req_8bde4bef_PlannerAgent_MarketDataTool,wf_006,req_8bde4bef,PlannerAgent,MarketDataTool,AGENT_TO_TOOL,True,False,high,1
req_8bde4bef_PlannerAgent_RiskModelTool,wf_006,req_8bde4bef,PlannerAgent,RiskModelTool,AGENT_TO_TOOL,True,False,high,1
req_8bde4bef_MarketDataTool_AggregatorAgent,wf_006,req_8bde4bef,MarketDataTool,AggregatorAgent,TOOL_TO_AGENT,True,False,high,1
req_8bde4bef_RiskModelTool_AggregatorAgent,wf_006,req_8bde4bef,RiskModelTool,AggregatorAgent,TOOL_TO_AGENT,True,False,high,1
req_8bde4bef_AggregatorAgent_ComplianceAgent,wf_006,req_8bde4bef,AggregatorAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,high,1
req_8bde4bef_ComplianceAgent_FinalAnswer,wf_006,req_8bde4bef,ComplianceAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,high,1
req_46dcb3df_User_PlannerAgent,wf_007,req_46dcb3df,User,PlannerAgent,USER_TO_AGENT,True,False,low,1
req_46dcb3df_PlannerAgent_CodeGenTool,wf_007,req_46dcb3df,PlannerAgent,CodeGenTool,AGENT_TO_TOOL,True,False,low,1
req_46dcb3df_CodeGenTool_ReviewerAgent,wf_007,req_46dcb3df,CodeGenTool,ReviewerAgent,TOOL_TO_AGENT,True,False,low,1
req_46dcb3df_ReviewerAgent_FinalAnswer,wf_007,req_46dcb3df,ReviewerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,1
req_f9162e3b_User_PlannerAgent,wf_008,req_f9162e3b,User,PlannerAgent,USER_TO_AGENT,True,False,high,1
req_f9162e3b_PlannerAgent_TriageAgent,wf_008,req_f9162e3b,PlannerAgent,TriageAgent,AGENT_TO_AGENT_INTERNAL,False,False,high,1
req_f9162e3b_TriageAgent_ComplianceAgent,wf_008,req_f9162e3b,TriageAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,high,1
req_4a82c30f_User_PlannerAgent,wf_009,req_4a82c30f,User,PlannerAgent,USER_TO_AGENT,True,False,high,2
req_4a82c30f_PlannerAgent_AgentA,wf_009,req_4a82c30f,PlannerAgent,AgentA,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_4a82c30f_AgentA_AgentB,wf_009,req_4a82c30f,AgentA,AgentB,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_4a82c30f_AgentB_AgentC,wf_009,req_4a82c30f,AgentB,AgentC,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_4a82c30f_AgentC_AgentD,wf_009,req_4a82c30f,AgentC,AgentD,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_4a82c30f_AgentD_AgentE,wf_009,req_4a82c30f,AgentD,AgentE,AGENT_TO_AGENT_INTERNAL,False,False,high,2
req_4a82c30f_AgentE_FinalAnswer,wf_009,req_4a82c30f,AgentE,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,high,2
req_b961cb4d_User_PlannerAgent,wf_010,req_b961cb4d,User,PlannerAgent,USER_TO_AGENT,True,False,low,1
req_b961cb4d_PlannerAgent_AgentA,wf_010,req_b961cb4d,PlannerAgent,AgentA,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_b961cb4d_AgentA_AgentB,wf_010,req_b961cb4d,AgentA,AgentB,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_b961cb4d_AgentB_AgentC,wf_010,req_b961cb4d,AgentB,AgentC,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_b961cb4d_AgentC_AgentD,wf_010,req_b961cb4d,AgentC,AgentD,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_b961cb4d_AgentD_AgentE,wf_010,req_b961cb4d,AgentD,AgentE,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_717fefc2_User_PlannerAgent,wf_011,req_717fefc2,User,PlannerAgent,USER_TO_AGENT,True,False,low,2
req_717fefc2_PlannerAgent_AgentA,wf_011,req_717fefc2,PlannerAgent,AgentA,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_717fefc2_AgentA_AgentB,wf_011,req_717fefc2,AgentA,AgentB,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_717fefc2_AgentB_AgentC,wf_011,req_717fefc2,AgentB,AgentC,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_717fefc2_AgentC_AgentD,wf_011,req_717fefc2,AgentC,AgentD,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_717fefc2_AgentD_AgentE,wf_011,req_717fefc2,AgentD,AgentE,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_717fefc2_AgentE_FinalAnswer,wf_011,req_717fefc2,AgentE,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,2
req_49e25668_User_PlannerAgent,wf_012,req_49e25668,User,PlannerAgent,USER_TO_AGENT,True,False,low,2
req_49e25668_PlannerAgent_AgentA,wf_012,req_49e25668,PlannerAgent,AgentA,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_49e25668_AgentA_AgentB,wf_012,req_49e25668,AgentA,AgentB,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_49e25668_AgentB_AgentC,wf_012,req_49e25668,AgentB,AgentC,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_49e25668_AgentC_FinalAnswer,wf_012,req_49e25668,AgentC,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,2
req_ebd1136e_User_PlannerAgent,wf_013,req_ebd1136e,User,PlannerAgent,USER_TO_AGENT,True,False,low,1
req_ebd1136e_PlannerAgent_RetrievalAgent,wf_013,req_ebd1136e,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_ebd1136e_PlannerAgent_ComplianceAgent,wf_013,req_ebd1136e,PlannerAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_ebd1136e_RetrievalAgent_SummarizerAgent,wf_013,req_ebd1136e,RetrievalAgent,SummarizerAgent,AGENT_TO_AGENT_INTERNAL,False,True,low,1
req_ebd1136e_ComplianceAgent_SummarizerAgent,wf_013,req_ebd1136e,ComplianceAgent,SummarizerAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,1
req_ebd1136e_SummarizerAgent_FinalAnswer,wf_013,req_ebd1136e,SummarizerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,1
req_94f51587_User_PlannerAgent,wf_014,req_94f51587,User,PlannerAgent,USER_TO_AGENT,True,False,low,2
req_94f51587_PlannerAgent_RetrievalAgent,wf_014,req_94f51587,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_94f51587_RetrievalAgent_AnalysisAgent,wf_014,req_94f51587,RetrievalAgent,AnalysisAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_94f51587_AnalysisAgent_FinalAnswer,wf_014,req_94f51587,AnalysisAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,low,2
req_5303cbd3_User_PlannerAgent,wf_015,req_5303cbd3,User,PlannerAgent,USER_TO_AGENT,True,False,high,1
req_5303cbd3_PlannerAgent_SearchTool,wf_015,req_5303cbd3,PlannerAgent,SearchTool,AGENT_TO_TOOL,True,False,high,1
req_5303cbd3_SearchTool_AnalysisAgent,wf_015,req_5303cbd3,SearchTool,AnalysisAgent,TOOL_TO_AGENT,True,False,high,1
req_5303cbd3_AnalysisAgent_DatabaseTool,wf_015,req_5303cbd3,AnalysisAgent,DatabaseTool,AGENT_TO_TOOL,True,True,high,1
req_5303cbd3_DatabaseTool_SummarizerAgent,wf_015,req_5303cbd3,DatabaseTool,SummarizerAgent,TOOL_TO_AGENT,True,False,high,1
req_5303cbd3_SummarizerAgent_FinalAnswer,wf_015,req_5303cbd3,SummarizerAgent,FinalAnswer,AGENT_TO_FINAL_RESPONSE,True,False,high,1
req_48d8ba91_User_PlannerAgent,wf_016,req_48d8ba91,User,PlannerAgent,USER_TO_AGENT,True,False,low,2
req_48d8ba91_PlannerAgent_RetrievalAgent,wf_016,req_48d8ba91,PlannerAgent,RetrievalAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
req_48d8ba91_PlannerAgent_ComplianceAgent,wf_016,req_48d8ba91,PlannerAgent,ComplianceAgent,AGENT_TO_AGENT_INTERNAL,False,False,low,2
