node_id,workflow_id,request_id,node_name,node_type,agent_name,risk_level,input_text_hash,output_text_hash,guardrail_check_count
req_ae2378fa_User,wf_000,req_ae2378fa,User,user,User,medium,ab7232a7009e,ab7232a7009e,0
req_ae2378fa_PlannerAgent,wf_000,req_ae2378fa,PlannerAgent,agent,PlannerAgent,medium,ab7232a7009e,ab7232a7009e,1
req_ae2378fa_RetrievalAgent,wf_000,req_ae2378fa,RetrievalAgent,agent,RetrievalAgent,medium,ab7232a7009e,ab7232a7009e,1
req_ae2378fa_SummarizerAgent,wf_000,req_ae2378fa,SummarizerAgent,agent,SummarizerAgent,medium,ab7232a7009e,ab7232a7009e,1
req_ae2378fa_ComplianceAgent,wf_000,req_ae2378fa,ComplianceAgent,agent,ComplianceAgent,medium,ab7232a7009e,ab7232a7009e,1
req_ae2378fa_FinalAnswer,wf_000,req_ae2378fa,FinalAnswer,final,FinalAnswer,medium,ab7232a7009e,ab7232a7009e,1
req_304e04c4_User,wf_001,req_304e04c4,User,user,User,medium,d07b08655a8f,d07b08655a8f,0
req_304e04c4_PlannerAgent,wf_001,req_304e04c4,PlannerAgent,agent,PlannerAgent,medium,d07b08655a8f,d07b08655a8f,1
req_304e04c4_SearchTool,wf_001,req_304e04c4,SearchTool,tool,SearchTool,medium,d07b08655a8f,d07b08655a8f,1
req_304e04c4_AnalysisAgent,wf_001,req_304e04c4,AnalysisAgent,agent,AnalysisAgent,medium,d07b08655a8f,d07b08655a8f,1
req_304e04c4_DatabaseTool,wf_001,req_304e04c4,DatabaseTool,tool,DatabaseTool,medium,d07b08655a8f,d07b08655a8f,1
req_304e04c4_SummarizerAgent,wf_001,req_304e04c4,SummarizerAgent,agent,SummarizerAgent,medium,d07b08655a8f,d07b08655a8f,1
req_304e04c4_FinalAnswer,wf_001,req_304e04c4,FinalAnswer,final,FinalAnswer,medium,d07b08655a8f,d07b08655a8f,1
req_5d6a23c9_User,wf_002,req_5d6a23c9,User,user,User,low,2ca26547d1b5,2ca26547d1b5,0
req_5d6a23c9_PlannerAgent,wf_002,req_5d6a23c9,PlannerAgent,agent,PlannerAgent,low,2ca26547d1b5,2ca26547d1b5,2
req_5d6a23c9_RetrievalAgent,wf_002,req_5d6a23c9,RetrievalAgent,agent,RetrievalAgent,low,2ca26547d1b5,2ca26547d1b5,2
req_5d6a23c9_ComplianceAgent,wf_002,req_5d6a23c9,ComplianceAgent,agent,ComplianceAgent,low,2ca26547d1b5,2ca26547d1b5,2
req_5d6a23c9_SummarizerAgent,wf_002,req_5d6a23c9,SummarizerAgent,agent,SummarizerAgent,low,2ca26547d1b5,2ca26547d1b5,4
req_5d6a23c9_FinalAnswer,wf_002,req_5d6a23c9,FinalAnswer,final,FinalAnswer,low,2ca26547d1b5,2ca26547d1b5,2
req_f625fc17_User,wf_003,req_f625fc17,User,user,User,high,878d18e94f35,878d18e94f35,0
req_f625fc17_PlannerAgent,wf_003,req_f625fc17,PlannerAgent,agent,PlannerAgent,high,878d18e94f35,878d18e94f35,2
req_f625fc17_FinanceAgent,wf_003,req_f625fc17,FinanceAgent,agent,FinanceAgent,high,878d18e94f35,878d18e94f35,2
req_f625fc17_PaymentTool,wf_003,req_f625fc17,PaymentTool,tool,PaymentTool,high,878d18e94f35,878d18e94f35,2
