workflow_id,request_id,step_id,node_id,source_node,target_node,agent_name,guardrail_type,policy_id,text_hash,trust_boundary,risk_level,original_latency_ms,original_cost_usd,recommended_decision,reason,reused_from_step_id,safe_to_optimize,graph_path_id,path_type,protected_boundary,audit_required
wf_000,req_ae2378fa,1,req_ae2378fa_PlannerAgent,User,PlannerAgent,PlannerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,USER_TO_AGENT,medium,237.28,0.000261,KEEP,protected_trust_boundary_always_kept,,False,req_ae2378fa_p0,final,True,False
wf_000,req_ae2378fa,4,req_ae2378fa_ComplianceAgent,PlannerAgent,ComplianceAgent,ComplianceAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,AGENT_TO_AGENT_INTERNAL,medium,198.98,0.000278,REUSE_PREVIOUS_DECISION,medium_risk_internal_duplicate_reuse_prior_decision,1.0,True,req_ae2378fa_p0,final,False,True
wf_000,req_ae2378fa,5,req_ae2378fa_FinalAnswer,ComplianceAgent,FinalAnswer,FinalAnswer,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,AGENT_TO_FINAL_RESPONSE,medium,210.94,0.000247,KEEP,protected_trust_boundary_always_kept,,False,req_ae2378fa_p0,final,True,False
wf_000,req_ae2378fa,2,req_ae2378fa_RetrievalAgent,PlannerAgent,RetrievalAgent,RetrievalAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,AGENT_TO_AGENT_INTERNAL,medium,183.71,0.000245,KEEP,orphan_branch_dead_end_conservatively_kept;medium_risk_internal_duplicate_reuse_prior_decision,1.0,False,req_ae2378fa_o1,orphan_branch,False,False
wf_000,req_ae2378fa,3,req_ae2378fa_SummarizerAgent,RetrievalAgent,SummarizerAgent,SummarizerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,AGENT_TO_AGENT_INTERNAL,medium,235.24,0.000269,KEEP,orphan_branch_dead_end_conservatively_kept;medium_risk_internal_duplicate_reuse_prior_decision,2.0,False,req_ae2378fa_o1,orphan_branch,False,False
wf_001,req_304e04c4,1,req_304e04c4_PlannerAgent,User,PlannerAgent,PlannerAgent,PII_CHECK,policy_v1,d07b08655a8f,USER_TO_AGENT,medium,120.91,5.2e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_001,req_304e04c4,2,req_304e04c4_SearchTool,PlannerAgent,SearchTool,SearchTool,PII_CHECK,policy_v1,d07b08655a8f,AGENT_TO_TOOL,medium,154.19,5.3e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_001,req_304e04c4,3,req_304e04c4_AnalysisAgent,SearchTool,AnalysisAgent,AnalysisAgent,PII_CHECK,policy_v1,d07b08655a8f,TOOL_TO_AGENT,medium,152.33,5.6e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_001,req_304e04c4,4,req_304e04c4_DatabaseTool,AnalysisAgent,DatabaseTool,DatabaseTool,PII_CHECK,policy_v1,d07b08655a8f,AGENT_TO_TOOL,medium,140.98,6.1e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_001,req_304e04c4,5,req_304e04c4_SummarizerAgent,DatabaseTool,SummarizerAgent,SummarizerAgent,PII_CHECK,policy_v1,d07b08655a8f,TOOL_TO_AGENT,medium,126.76,5.7e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_001,req_304e04c4,6,req_304e04c4_FinalAnswer,SummarizerAgent,FinalAnswer,FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,AGENT_TO_FINAL_RESPONSE,medium,141.44,6e-05,KEEP,protected_trust_boundary_always_kept,,False,req_304e04c4_p0,final,True,False
wf_002,req_5d6a23c9,1,req_5d6a23c9_PlannerAgent,User,PlannerAgent,PlannerAgent,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,USER_TO_AGENT,low,219.63,0.000233,KEEP,protected_trust_boundary_always_kept,,False,req_5d6a23c9_p0,final,True,False
wf_002,req_5d6a23c9,2,req_5d6a23c9_RetrievalAgent,PlannerAgent,RetrievalAgent,RetrievalAgent,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_AGENT_INTERNAL,low,208.32,0.000205,SKIP_REDUNDANT_WITH_AUDIT,low_risk_internal_duplicate_same_text_same_policy_previous_pass,1.0,True,req_5d6a23c9_p0,final,False,True
wf_002,req_5d6a23c9,4,req_5d6a23c9_SummarizerAgent,RetrievalAgent,SummarizerAgent,SummarizerAgent,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_AGENT_INTERNAL,low,181.49,0.000244,HUMAN_REVIEW_REQUIRED,conflicting_guardrail_results,2.0,False,req_5d6a23c9_p0,final,False,True
wf_002,req_5d6a23c9,6,req_5d6a23c9_FinalAnswer,SummarizerAgent,FinalAnswer,FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_FINAL_RESPONSE,low,168.79,0.000247,KEEP,protected_trust_boundary_always_kept,,False,req_5d6a23c9_p0,final,True,False
wf_002,req_5d6a23c9,7,req_5d6a23c9_PlannerAgent,User,PlannerAgent,PlannerAgent,GROUNDING_CHECK,policy_v3,2ca26547d1b5,USER_TO_AGENT,low,225.9,0.000277,KEEP,protected_trust_boundary_always_kept,,False,req_5d6a23c9_p0,final,True,False
wf_002,req_5d6a23c9,8,req_5d6a23c9_RetrievalAgent,PlannerAgent,RetrievalAgent,RetrievalAgent,GROUNDING_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_AGENT_INTERNAL,low,264.9,0.000274,SKIP_REDUNDANT_WITH_AUDIT,low_risk_internal_duplicate_same_text_same_policy_previous_pass,7.0,True,req_5d6a23c9_p0,final,False,True
wf_002,req_5d6a23c9,10,req_5d6a23c9_SummarizerAgent,RetrievalAgent,SummarizerAgent,SummarizerAgent,GROUNDING_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_AGENT_INTERNAL,low,276.84,0.000286,HUMAN_REVIEW_REQUIRED,conflicting_guardrail_results,8.0,False,req_5d6a23c9_p0,final,False,True
wf_002,req_5d6a23c9,12,req_5d6a23c9_FinalAnswer,SummarizerAgent,FinalAnswer,FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,AGENT_TO_FINAL_RESPONSE,low,239.58,0.000325,KEEP,protected_trust_boundary_always_kept,,False,req_5d6a23c9_p0,final,True,False
