workflow_id,request_id,path_id,path_type,path_nodes,guardrail_type,policy_id,text_hash,first_step_id,duplicate_step_id,duplicate_reason,optimization_allowed,blocked_by,recommended_decision
wf_000,req_ae2378fa,req_ae2378fa_p0,final,User -> PlannerAgent -> ComplianceAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,1,4,same_guardrail_same_text_same_policy,True,,REUSE_PREVIOUS_DECISION
wf_000,req_ae2378fa,req_ae2378fa_p0,final,User -> PlannerAgent -> ComplianceAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,4,5,protected_boundary,False,protected_boundary,KEEP
wf_000,req_ae2378fa,req_ae2378fa_o1,orphan_branch,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,1,2,orphan_branch,False,orphan_branch,KEEP
wf_000,req_ae2378fa,req_ae2378fa_o1,orphan_branch,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent,PROMPT_ATTACK_CHECK,policy_v1,ab7232a7009e,2,3,orphan_branch,False,orphan_branch,KEEP
wf_001,req_304e04c4,req_304e04c4_p0,final,User -> PlannerAgent -> SearchTool -> AnalysisAgent -> DatabaseTool -> SummarizerAgent -> FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,1,2,protected_boundary,False,protected_boundary,KEEP
wf_001,req_304e04c4,req_304e04c4_p0,final,User -> PlannerAgent -> SearchTool -> AnalysisAgent -> DatabaseTool -> SummarizerAgent -> FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,2,3,protected_boundary,False,protected_boundary,KEEP
wf_001,req_304e04c4,req_304e04c4_p0,final,User -> PlannerAgent -> SearchTool -> AnalysisAgent -> DatabaseTool -> SummarizerAgent -> FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,3,4,protected_boundary,False,protected_boundary,KEEP
wf_001,req_304e04c4,req_304e04c4_p0,final,User -> PlannerAgent -> SearchTool -> AnalysisAgent -> DatabaseTool -> SummarizerAgent -> FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,4,5,protected_boundary;conflicting_result,False,protected_boundary;conflicting_result,HUMAN_REVIEW_REQUIRED
wf_001,req_304e04c4,req_304e04c4_p0,final,User -> PlannerAgent -> SearchTool -> AnalysisAgent -> DatabaseTool -> SummarizerAgent -> FinalAnswer,PII_CHECK,policy_v1,d07b08655a8f,5,6,protected_boundary;previous_unsafe_result,False,protected_boundary;previous_unsafe_result,KEEP
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,1,2,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,2,4,conflicting_result,False,conflicting_result,HUMAN_REVIEW_REQUIRED
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,4,6,protected_boundary;previous_unsafe_result,False,protected_boundary;previous_unsafe_result,KEEP
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,7,8,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,8,10,conflicting_result,False,conflicting_result,HUMAN_REVIEW_REQUIRED
wf_002,req_5d6a23c9,req_5d6a23c9_p0,final,User -> PlannerAgent -> RetrievalAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,10,12,protected_boundary;previous_unsafe_result;conflicting_result,False,protected_boundary;previous_unsafe_result;conflicting_result,HUMAN_REVIEW_REQUIRED
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,1,3,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,3,5,conflicting_result,False,conflicting_result,HUMAN_REVIEW_REQUIRED
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v3,2ca26547d1b5,5,6,protected_boundary;previous_unsafe_result,False,protected_boundary;previous_unsafe_result,KEEP
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,7,9,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,9,11,conflicting_result,False,conflicting_result,HUMAN_REVIEW_REQUIRED
wf_002,req_5d6a23c9,req_5d6a23c9_p1,final,User -> PlannerAgent -> ComplianceAgent -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v3,2ca26547d1b5,11,12,protected_boundary;previous_unsafe_result;conflicting_result,False,protected_boundary;previous_unsafe_result;conflicting_result,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v2,878d18e94f35,1,2,high_risk,False,high_risk,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v2,878d18e94f35,2,3,protected_boundary;high_risk;previous_unsafe_result,False,protected_boundary;high_risk;previous_unsafe_result,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v2,878d18e94f35,3,4,protected_boundary;high_risk;previous_unsafe_result,False,protected_boundary;high_risk;previous_unsafe_result,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,PROMPT_ATTACK_CHECK,policy_v2,878d18e94f35,4,5,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,878d18e94f35,6,7,high_risk,False,high_risk,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,878d18e94f35,7,8,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,878d18e94f35,8,9,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_003,req_f625fc17,req_f625fc17_p0,final,User -> PlannerAgent -> FinanceAgent -> PaymentTool -> SummarizerAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,878d18e94f35,9,10,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_004,req_8b936967,req_8b936967_p0,final,User -> PlannerAgent -> AgentA -> AgentB -> AgentC -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v3,9c949bfb5eea,1,2,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_004,req_8b936967,req_8b936967_p0,final,User -> PlannerAgent -> AgentA -> AgentB -> AgentC -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v3,9c949bfb5eea,2,3,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_004,req_8b936967,req_8b936967_p0,final,User -> PlannerAgent -> AgentA -> AgentB -> AgentC -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v3,9c949bfb5eea,3,4,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_004,req_8b936967,req_8b936967_p0,final,User -> PlannerAgent -> AgentA -> AgentB -> AgentC -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v3,9c949bfb5eea,4,5,protected_boundary,False,protected_boundary,KEEP
wf_005,req_16c0be0a,req_16c0be0a_p0,final,User -> PlannerAgent -> RetrievalAgent -> ComplianceAgent -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v2,2ca26547d1b5,1,2,same_guardrail_same_text_same_policy,True,,SKIP_REDUNDANT_WITH_AUDIT
wf_005,req_16c0be0a,req_16c0be0a_p0,final,User -> PlannerAgent -> RetrievalAgent -> ComplianceAgent -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v2,2ca26547d1b5,2,3,conflicting_result,False,conflicting_result,HUMAN_REVIEW_REQUIRED
wf_005,req_16c0be0a,req_16c0be0a_p0,final,User -> PlannerAgent -> RetrievalAgent -> ComplianceAgent -> FinalAnswer,SENSITIVE_INFO_CHECK,policy_v2,2ca26547d1b5,3,4,protected_boundary;previous_unsafe_result,False,protected_boundary;previous_unsafe_result,KEEP
wf_006,req_8bde4bef,req_8bde4bef_p0,final,User -> PlannerAgent -> MarketDataTool -> AggregatorAgent -> ComplianceAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,ab7232a7009e,1,2,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_006,req_8bde4bef,req_8bde4bef_p0,final,User -> PlannerAgent -> MarketDataTool -> AggregatorAgent -> ComplianceAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,ab7232a7009e,2,4,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
wf_006,req_8bde4bef,req_8bde4bef_p0,final,User -> PlannerAgent -> MarketDataTool -> AggregatorAgent -> ComplianceAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,ab7232a7009e,4,6,high_risk,False,high_risk,HUMAN_REVIEW_REQUIRED
wf_006,req_8bde4bef,req_8bde4bef_p0,final,User -> PlannerAgent -> MarketDataTool -> AggregatorAgent -> ComplianceAgent -> FinalAnswer,GROUNDING_CHECK,policy_v2,ab7232a7009e,6,7,protected_boundary;high_risk,False,protected_boundary;high_risk,HUMAN_REVIEW_REQUIRED
